Office Name,Address,State,City,Date,Expense Type,Amount
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-08-25,internet,116
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-09-24,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-09-24,water,127
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-09-24,electric,452
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-09-24,internet,154
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-10-24,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-10-24,water,243
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-10-24,electric,370
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-10-24,internet,197
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-11-23,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-11-23,water,136
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-11-23,electric,371
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-11-23,internet,164
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-12-23,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-12-23,water,161
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-12-23,electric,298
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2023-12-23,internet,118
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-01-22,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-01-22,water,293
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-01-22,electric,256
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-01-22,internet,141
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-02-21,rent,11641
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-02-21,water,183
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-02-21,electric,225
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-02-21,internet,103
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-03-22,rent,12805
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-03-22,water,148
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-03-22,electric,444
Dream Homes Bridgeport,09080 Stone Hill,CT,Bridgeport,2024-03-22,internet,135
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-04-12,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-04-12,water,255
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-04-12,electric,391
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-04-12,internet,161
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-05-12,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-05-12,water,198
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-05-12,electric,439
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-05-12,internet,108
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-06-11,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-06-11,water,274
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-06-11,electric,400
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-06-11,internet,161
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-07-11,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-07-11,water,273
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-07-11,electric,445
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-07-11,internet,178
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-08-10,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-08-10,water,160
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-08-10,electric,556
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-08-10,internet,137
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-09-09,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-09-09,water,225
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-09-09,electric,517
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-09-09,internet,134
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-10-09,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-10-09,water,182
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-10-09,electric,515
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-10-09,internet,131
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-11-08,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-11-08,water,270
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-11-08,electric,359
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-11-08,internet,147
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-12-08,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-12-08,water,111
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-12-08,electric,428
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2023-12-08,internet,158
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-01-07,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-01-07,water,100
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-01-07,electric,362
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-01-07,internet,100
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-02-06,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-02-06,water,223
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-02-06,electric,509
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-02-06,internet,157
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-03-07,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-03-07,water,236
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-03-07,electric,416
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-03-07,internet,186
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-04-06,rent,10912
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-04-06,water,135
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-04-06,electric,296
Dream Homes Albany,93021 Charles Rapid,NY,Albany,2024-04-06,internet,160
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-10-17,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-10-17,water,250
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-10-17,electric,476
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-10-17,internet,127
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-11-16,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-11-16,water,147
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-11-16,electric,500
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-11-16,internet,188
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-12-16,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-12-16,water,120
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-12-16,electric,206
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2022-12-16,internet,110
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-01-15,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-01-15,water,138
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-01-15,electric,300
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-01-15,internet,133
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-02-14,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-02-14,water,194
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-02-14,electric,468
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-02-14,internet,139
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-03-16,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-03-16,water,232
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-03-16,electric,238
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-03-16,internet,154
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-04-15,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-04-15,water,153
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-04-15,electric,372
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-04-15,internet,168
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-05-15,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-05-15,water,248
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-05-15,electric,380
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-05-15,internet,191
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-06-14,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-06-14,water,226
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-06-14,electric,434
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-06-14,internet,153
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-07-14,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-07-14,water,276
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-07-14,electric,345
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-07-14,internet,159
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-08-13,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-08-13,water,130
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-08-13,electric,534
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-08-13,internet,197
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-09-12,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-09-12,water,130
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-09-12,electric,214
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-09-12,internet,180
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-10-12,rent,13413
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-10-12,water,174
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-10-12,electric,485
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-10-12,internet,149
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-11-11,rent,14754
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-11-11,water,179
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-11-11,electric,475
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-11-11,internet,105
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-12-11,rent,14754
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-12-11,water,292
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-12-11,electric,272
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2023-12-11,internet,145
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-01-10,rent,14754
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-01-10,water,204
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-01-10,electric,441
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-01-10,internet,143
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-02-09,rent,14754
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-02-09,water,145
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-02-09,electric,437
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-02-09,internet,155
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-03-10,rent,14754
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-03-10,water,108
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-03-10,electric,477
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-03-10,internet,116
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-04-09,rent,14754
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-04-09,water,130
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-04-09,electric,349
Dream Homes Bridgeport,9121 Kevin Alley,CT,Bridgeport,2024-04-09,internet,168
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-01-26,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-01-26,water,101
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-01-26,electric,538
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-01-26,internet,147
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-02-25,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-02-25,water,178
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-02-25,electric,369
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-02-25,internet,157
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-03-27,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-03-27,water,146
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-03-27,electric,300
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-03-27,internet,111
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-04-26,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-04-26,water,278
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-04-26,electric,210
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-04-26,internet,109
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-05-26,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-05-26,water,289
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-05-26,electric,600
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-05-26,internet,186
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-06-25,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-06-25,water,243
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-06-25,electric,597
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-06-25,internet,129
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-07-25,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-07-25,water,269
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-07-25,electric,568
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-07-25,internet,146
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-08-24,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-08-24,water,270
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-08-24,electric,492
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-08-24,internet,182
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-09-23,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-09-23,water,116
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-09-23,electric,446
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-09-23,internet,151
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-10-23,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-10-23,water,187
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-10-23,electric,279
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-10-23,internet,166
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-11-22,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-11-22,water,264
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-11-22,electric,282
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-11-22,internet,107
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-12-22,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-12-22,water,246
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-12-22,electric,275
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2023-12-22,internet,200
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-01-21,rent,18806
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-01-21,water,184
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-01-21,electric,232
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-01-21,internet,177
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-02-20,rent,20687
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-02-20,water,226
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-02-20,electric,287
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-02-20,internet,176
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-03-21,rent,20687
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-03-21,water,270
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-03-21,electric,272
Dream Homes Bridgeport,45519 Owens Ramp Suite 211,CT,Bridgeport,2024-03-21,internet,159
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-10-05,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-10-05,water,290
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-10-05,electric,306
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-10-05,internet,184
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-11-04,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-11-04,water,208
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-11-04,electric,410
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-11-04,internet,113
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-12-04,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-12-04,water,199
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-12-04,electric,369
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2022-12-04,internet,139
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-01-03,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-01-03,water,190
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-01-03,electric,524
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-01-03,internet,109
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-02-02,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-02-02,water,197
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-02-02,electric,345
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-02-02,internet,170
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-03-04,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-03-04,water,189
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-03-04,electric,305
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-03-04,internet,169
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-04-03,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-04-03,water,239
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-04-03,electric,496
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-04-03,internet,156
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-05-03,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-05-03,water,146
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-05-03,electric,371
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-05-03,internet,127
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-06-02,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-06-02,water,220
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-06-02,electric,498
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-06-02,internet,186
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-07-02,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-07-02,water,260
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-07-02,electric,535
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-07-02,internet,189
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-01,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-01,water,102
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-01,electric,387
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-01,internet,180
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-31,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-31,water,148
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-31,electric,530
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-08-31,internet,159
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-09-30,rent,18951
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-09-30,water,254
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-09-30,electric,504
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-09-30,internet,131
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-10-30,rent,20846
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-10-30,water,209
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-10-30,electric,410
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-10-30,internet,137
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-11-29,rent,20846
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-11-29,water,197
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-11-29,electric,353
Dream Homes Albany,175 Cheryl Cove Apt. 694,NY,Albany,2023-11-29,internet,109
