Street,City,State,neighborhood_name,crime_rate
48576 Schmidt Flat Suite 069,Syracuse,NY,East Bronx,5.7
04615 Elizabeth Harbor,Bridgeport,CT,Downtown Stamford,9.4
179 Michael Isle,New York,NY,Upper East Side,8.0
0521 Herman Fields,Waterbury,CT,Downtown New London,3.2
667 Lowery Club,Bridgeport,CT,Downtown New London,3.2
8397 Michael Shoal Apt. 670,Newark,NJ,Mid New Brunswick,7.6
003 Kristina Prairie,Hartford,CT,South Norwalk,7.0
47277 Smith Ford Suite 091,Bridgeport,CT,Downtown Stamford,9.4
2946 Lee Groves Apt. 304,Jersey City,NJ,Mid New Brunswick,7.6
09046 Joseph Corner Suite 756,Rochester,NY,Upper West Side,7.7
534 Bradley Streets Apt. 676,Buffalo,NY,Northern Queens,9.3
8041 Jackson Estate Apt. 846,Waterbury,CT,South Norwalk,7.0
3861 Rios Branch Apt. 135,Newark,NJ,East Elizabeth,4.5
28839 Joseph Springs,Syracuse,NY,Lower East Side,6.8
25019 Thomas Creek Suite 704,Hartford,CT,North New Haven,7.1
1460 White Fords,Waterbury,CT,East Hartford,2.7
26608 White Ports Suite 161,Newark,NJ,South Trenton,1.0
7883 William Walk Apt. 308,Bridgeport,CT,Downtown Stamford,9.4
51049 Misty Circles Suite 438,Stamford,CT,North New Haven,7.1
287 Jimenez Flats,Elizabeth,NJ,East Elizabeth,4.5
9741 King Terrace Suite 268,Waterbury,CT,Downtown New London,3.2
6540 Brooke Junction Suite 152,Paterson,NJ,Mid New Brunswick,7.6
8606 Sandra Pike,Paterson,NJ,Mid New Brunswick,7.6
01545 White Lodge Suite 202,Newark,NJ,Mid New Brunswick,7.6
94797 Lisa Route Apt. 380,Buffalo,NY,South Staten Island,6.3
489 Bray Fords,Elizabeth,NJ,Mid New Brunswick,7.6
298 Romero Plains Suite 816,Albany,NY,Lower East Side,6.8
283 Rachel Fall Apt. 645,Hartford,CT,North New Haven,7.1
646 Joel Circle,Elizabeth,NJ,East Elizabeth,4.5
0501 Brenda Rapid Suite 444,Stamford,CT,East Hartford,2.7
395 Patricia Mount,Paterson,NJ,South Trenton,1.0
62244 Ewing Groves,New Haven,CT,North New Haven,7.1
701 Marshall Hollow,Syracuse,NY,Northern Queens,9.3
835 Michelle Mills Suite 934,Elizabeth,NJ,South Trenton,1.0
3609 Shane Ramp,Waterbury,CT,North New Haven,7.1
9861 Forbes Shoal,Stamford,CT,South Norwalk,7.0
53189 Livingston Shore Apt. 723,Trenton,NJ,Downtown Camden,1.3
1534 Paula Expressway Apt. 981,Buffalo,NY,Upper East Side,8.0
8888 Keith Walk Apt. 703,Newark,NJ,South Trenton,1.0
5669 Hill Ridge Suite 402,Trenton,NJ,East Elizabeth,4.5
1763 Thomas Heights,New Haven,CT,East Hartford,2.7
5449 Kemp Dale,Trenton,NJ,Downtown Camden,1.3
94502 Nancy Mission Apt. 018,Syracuse,NY,Downtown Manhattan,1.7
59732 Morris Drive Apt. 505,Hartford,CT,North New Haven,7.1
911 Reyes Heights Apt. 958,Bridgeport,CT,South Norwalk,7.0
8583 White Forges,Elizabeth,NJ,South Trenton,1.0
069 Gary Estate Suite 379,Buffalo,NY,Midtown West,6.1
3419 Andrea Summit,Syracuse,NY,Northern Queens,9.3
0545 Santana Canyon Apt. 173,Hartford,CT,South Norwalk,7.0
955 Schultz Ways,Elizabeth,NJ,South Trenton,1.0
123 Garcia Circle,Paterson,NJ,East Elizabeth,4.5
08970 Taylor Roads,New Haven,CT,North New Haven,7.1
286 Jose Roads Suite 724,Rochester,NY,Midtown East,2.1
96660 Hall Squares,Bridgeport,CT,North New Haven,7.1
1152 Christopher Corners,New York,NY,Midtown East,2.1
7382 Amanda Loaf,Rochester,NY,Northern Queens,9.3
21344 Wallace Well Suite 337,Albany,NY,West Bronx,1.7
157 Davis Island,Elizabeth,NJ,South Trenton,1.0
15853 Lisa Tunnel Apt. 298,Paterson,NJ,East Elizabeth,4.5
624 Daniel Avenue,Bridgeport,CT,East Hartford,2.7
123 Lawson River Suite 637,Waterbury,CT,Downtown Stamford,9.4
6498 Samantha Road,Hartford,CT,North New Haven,7.1
1345 Hanson Falls,Hartford,CT,South Norwalk,7.0
2673 Robert Place Suite 072,Paterson,NJ,South Trenton,1.0
8219 Davis Motorway,Rochester,NY,Lower West Side,1.5
62084 Cassandra Isle,Elizabeth,NJ,South Trenton,1.0
987 Stephanie Brooks,Elizabeth,NJ,Downtown Camden,1.3
71426 Barnett Squares,Bridgeport,CT,East Hartford,2.7
67399 James Mill,Waterbury,CT,North New Haven,7.1
00950 Brown Cape Apt. 585,Buffalo,NY,Downtown Brooklyn,4.8
582 Linda Fields Apt. 578,Jersey City,NJ,South Trenton,1.0
7817 Hannah Manor Suite 043,Newark,NJ,Mid New Brunswick,7.6
446 Davidson Meadows Apt. 274,Hartford,CT,South Norwalk,7.0
33862 William Crossing Suite 088,Syracuse,NY,Lower West Side,1.5
7015 Shari Glen,Albany,NY,Northern Queens,9.3
0041 Mills Flat Apt. 698,Rochester,NY,South Bronx,3.6
54477 Jake Turnpike Apt. 815,Stamford,CT,Downtown Stamford,9.4
104 Samantha Keys Apt. 262,Hartford,CT,Downtown New London,3.2
48571 Mitchell Valley Suite 546,Elizabeth,NJ,Mid New Brunswick,7.6
08004 Ramirez Port Suite 575,Stamford,CT,Downtown Stamford,9.4
606 Jeffrey Tunnel Apt. 204,Paterson,NJ,Mid New Brunswick,7.6
0860 Walter Mountain Apt. 475,Stamford,CT,Downtown New London,3.2
9622 Duffy Points Apt. 767,New York,NY,Lower East Side,6.8
78182 Keith Gardens Apt. 910,New Haven,CT,Downtown Stamford,9.4
708 Choi Streets,Trenton,NJ,East Elizabeth,4.5
6216 Nicholas Mews,Syracuse,NY,Upper West Side,7.7
406 Ramos Ferry,Paterson,NJ,Downtown Camden,1.3
560 Mark Park,Newark,NJ,Downtown Camden,1.3
75200 Smith Glen,Albany,NY,Downtown Manhattan,1.7
7380 Patricia Parkway Apt. 885,Bridgeport,CT,South Norwalk,7.0
182 Alexandra Isle,Trenton,NJ,South Trenton,1.0
740 Jennifer Ranch,Trenton,NJ,South Trenton,1.0
1498 Nicholas Court,Hartford,CT,South Norwalk,7.0
833 Nash Crescent,Hartford,CT,Downtown New London,3.2
28997 Scott Points,Elizabeth,NJ,Mid New Brunswick,7.6
81289 Robert Fort Suite 707,Trenton,NJ,Downtown Camden,1.3
4471 Bill Spring Apt. 068,Newark,NJ,Downtown Camden,1.3
2607 Gonzalez Drive Suite 723,Paterson,NJ,Mid New Brunswick,7.6
03167 Webb Mission Apt. 780,Stamford,CT,South Norwalk,7.0
98618 Jacqueline Wells,Newark,NJ,Mid New Brunswick,7.6
42647 Morris Mews Suite 430,Elizabeth,NJ,South Trenton,1.0
238 Molina Ford,New Haven,CT,East Hartford,2.7
29426 Lara Fords,Hartford,CT,Downtown New London,3.2
3138 Erin View,Bridgeport,CT,East Hartford,2.7
88844 Heather Curve,Elizabeth,NJ,Mid New Brunswick,7.6
13978 Robert Heights Apt. 755,Stamford,CT,Downtown New London,3.2
038 Hebert Burg Suite 847,Jersey City,NJ,Downtown Camden,1.3
316 Potts Parkway,New York,NY,Midtown East,2.1
966 Lopez Vista,Waterbury,CT,North New Haven,7.1
7905 Reid Lane Suite 560,Trenton,NJ,Downtown Camden,1.3
388 Hall Lane Suite 950,New York,NY,West Bronx,1.7
943 Mclean Trail Apt. 292,Syracuse,NY,East Bronx,5.7
380 Roberts Cliffs Apt. 351,Trenton,NJ,Mid New Brunswick,7.6
99135 Cindy Branch,Paterson,NJ,East Elizabeth,4.5
209 Johnson Shores,New Haven,CT,South Norwalk,7.0
92799 Gutierrez Wall Apt. 782,Jersey City,NJ,Mid New Brunswick,7.6
814 Edwards Route Apt. 719,Bridgeport,CT,North New Haven,7.1
920 Wilson Courts,Jersey City,NJ,Mid New Brunswick,7.6
83300 James Passage Suite 988,Stamford,CT,Downtown New London,3.2
6265 Brown Divide,Albany,NY,Lower West Side,1.5
92580 Michael Island,Bridgeport,CT,North New Haven,7.1
86312 Mary Fork,Trenton,NJ,South Trenton,1.0
975 Glover Burg,Jersey City,NJ,Mid New Brunswick,7.6
299 Butler Garden Suite 525,New York,NY,East Bronx,5.7
6258 Joseph Mountains Apt. 476,Syracuse,NY,Northern Queens,9.3
383 Clark Cove Suite 275,Rochester,NY,North Staten Island,2.0
003 Gabriela Mountains,Newark,NJ,East Elizabeth,4.5
472 Chang Rest,Syracuse,NY,Upper East Side,8.0
48386 Stephen Forges,Trenton,NJ,South Trenton,1.0
76807 Hall Key,Newark,NJ,East Elizabeth,4.5
9041 Phillips Cliff Suite 644,Buffalo,NY,Upper East Side,8.0
266 Aaron Skyway,Jersey City,NJ,Mid New Brunswick,7.6
623 Lisa Highway,Syracuse,NY,Upper East Side,8.0
4330 Williams Valley Apt. 864,Rochester,NY,Lower East Side,6.8
6001 Lee Park Suite 539,Waterbury,CT,North New Haven,7.1
2352 Knight Springs Suite 205,Rochester,NY,Lower West Side,1.5
474 Aguilar Expressway Apt. 641,New Haven,CT,Downtown New London,3.2
5192 Monica Lock Apt. 171,Buffalo,NY,Midtown East,2.1
1254 Dale Throughway Suite 725,Hartford,CT,Downtown New London,3.2
0557 Ford Springs,Waterbury,CT,East Hartford,2.7
582 Jessica Roads,Buffalo,NY,West Bronx,1.7
3200 George Neck,Stamford,CT,Downtown Stamford,9.4
7320 King Dam,Syracuse,NY,West Bronx,1.7
683 Wright Station,Waterbury,CT,North New Haven,7.1
361 Sarah Trace,New York,NY,South Bronx,3.6
205 Kevin Crescent,Elizabeth,NJ,East Elizabeth,4.5
22159 Rollins Fields Apt. 367,Paterson,NJ,East Elizabeth,4.5
07330 Thomas Lakes Suite 349,Hartford,CT,East Hartford,2.7
254 Smith Crest Apt. 208,Buffalo,NY,South Staten Island,6.3
2763 Dana Mountains,Rochester,NY,Northern Queens,9.3
6661 Anderson Route,Buffalo,NY,Downtown Manhattan,1.7
894 Jessica Isle Apt. 347,Buffalo,NY,Downtown Brooklyn,4.8
6963 Rodriguez Run Apt. 337,Newark,NJ,South Trenton,1.0
846 Christine Trail Suite 175,Paterson,NJ,Downtown Camden,1.3
481 Jones Points,Bridgeport,CT,South Norwalk,7.0
99303 Jorge Key Apt. 029,Syracuse,NY,South Bronx,3.6
64827 Lambert Creek,Albany,NY,Lower East Side,6.8
5177 Waters Square Apt. 838,Syracuse,NY,Upper West Side,7.7
963 Francisco Stravenue Apt. 994,Jersey City,NJ,Downtown Camden,1.3
7874 Johnson Curve Suite 390,Newark,NJ,Mid New Brunswick,7.6
460 Moore Station Apt. 961,Jersey City,NJ,Downtown Camden,1.3
6088 Christian Drive,Jersey City,NJ,South Trenton,1.0
001 Hannah Divide,Buffalo,NY,Upper East Side,8.0
225 Johnson Circle Apt. 289,New York,NY,Lower West Side,1.5
6199 Sampson Locks,Stamford,CT,North New Haven,7.1
5470 Maria Gateway,Trenton,NJ,Mid New Brunswick,7.6
969 Kristi Glens Apt. 737,Syracuse,NY,Midtown West,6.1
2574 Fitzpatrick Lodge,Bridgeport,CT,East Hartford,2.7
1915 Jennifer Pass Apt. 611,Waterbury,CT,Downtown New London,3.2
1689 Kathleen Lake Suite 807,Hartford,CT,South Norwalk,7.0
990 Matthew Underpass,Stamford,CT,Downtown Stamford,9.4
09646 Jackson Dam,Syracuse,NY,Lower East Side,6.8
628 David Views Apt. 020,Syracuse,NY,Upper East Side,8.0
541 King Streets,Hartford,CT,South Norwalk,7.0
4764 Shaw Street,Syracuse,NY,Midtown East,2.1
6114 John Tunnel Suite 599,Albany,NY,Lower West Side,1.5
6592 Michael Route,New Haven,CT,South Norwalk,7.0
66147 Gregory Port,Newark,NJ,East Elizabeth,4.5
033 Jennifer Orchard,Newark,NJ,Mid New Brunswick,7.6
6299 Robert Knoll,Syracuse,NY,Upper West Side,7.7
53273 Lisa Harbor,Rochester,NY,Northern Queens,9.3
641 Perry Cliff,Trenton,NJ,Downtown Camden,1.3
974 Wendy Pass,Elizabeth,NJ,East Elizabeth,4.5
4912 Cruz Glen Apt. 365,Hartford,CT,Downtown Stamford,9.4
482 Christopher Forges,Elizabeth,NJ,Mid New Brunswick,7.6
0982 Mooney Islands,Elizabeth,NJ,East Elizabeth,4.5
71607 Jason Mews,Syracuse,NY,Downtown Brooklyn,4.8
15523 Cook Street,New Haven,CT,Downtown New London,3.2
0630 Smith Inlet Suite 488,Albany,NY,Downtown Manhattan,1.7
4370 Guerrero Estates Apt. 392,Jersey City,NJ,Downtown Camden,1.3
957 Johnson Vista,Waterbury,CT,North New Haven,7.1
7074 Kurt Extensions Suite 086,Elizabeth,NJ,East Elizabeth,4.5
1537 Brooke Glen,Rochester,NY,South Bronx,3.6
600 Taylor Mall Apt. 717,Rochester,NY,North Staten Island,2.0
75457 John Gardens Suite 771,Stamford,CT,Downtown New London,3.2
3655 Gregory Rest,Albany,NY,Downtown Manhattan,1.7
752 Ashley Roads,Rochester,NY,East Bronx,5.7
23589 Gray Road,Paterson,NJ,Mid New Brunswick,7.6
2308 Day Street,Buffalo,NY,Lower West Side,1.5
26075 Chris Parks Suite 840,Jersey City,NJ,Downtown Camden,1.3
52746 Valerie Junctions Suite 339,Newark,NJ,Downtown Camden,1.3
39216 Ellen Spring Apt. 846,Bridgeport,CT,Downtown Stamford,9.4
40745 Tracy Walks,Albany,NY,Northern Queens,9.3
43884 Hanna Club Apt. 963,Bridgeport,CT,East Hartford,2.7
697 John Passage,Paterson,NJ,Mid New Brunswick,7.6
39539 Maria Falls,Jersey City,NJ,Mid New Brunswick,7.6
47304 Tammy Lakes,Hartford,CT,South Norwalk,7.0
6054 Joshua Unions Suite 614,New Haven,CT,North New Haven,7.1
9777 Mitchell Motorway Apt. 339,Waterbury,CT,East Hartford,2.7
315 Colton Coves,Bridgeport,CT,East Hartford,2.7
188 Thompson Road Suite 022,Jersey City,NJ,Mid New Brunswick,7.6
19100 Julia Ford,Elizabeth,NJ,Downtown Camden,1.3
3709 David Causeway,Jersey City,NJ,South Trenton,1.0
8626 Eric Islands,Bridgeport,CT,Downtown Stamford,9.4
592 Sonia Drive,Albany,NY,South Staten Island,6.3
815 Jasmine Spur Suite 539,Buffalo,NY,Lower East Side,6.8
795 Morgan Flat,Newark,NJ,East Elizabeth,4.5
37154 Chelsea Square,Hartford,CT,South Norwalk,7.0
6604 Lori Island,Syracuse,NY,South Staten Island,6.3
7176 Andrew Ridges Suite 615,Buffalo,NY,Midtown East,2.1
2139 Stevenson Wells Apt. 265,Hartford,CT,North New Haven,7.1
30727 Alyssa Mountain Apt. 496,Rochester,NY,Upper East Side,8.0
80287 Benjamin Row,Stamford,CT,North New Haven,7.1
76843 Robertson Grove Apt. 260,New York,NY,East Bronx,5.7
045 Smith Club Apt. 010,Paterson,NJ,Mid New Brunswick,7.6
3891 Laurie Tunnel Apt. 175,Paterson,NJ,Mid New Brunswick,7.6
9678 Steven Junctions,Rochester,NY,East Bronx,5.7
06608 Shaw Mission Apt. 847,New Haven,CT,North New Haven,7.1
50818 Cooper Trace,Waterbury,CT,East Hartford,2.7
5251 Clark Neck,Albany,NY,Lower East Side,6.8
96765 Krista Hills Apt. 086,Bridgeport,CT,North New Haven,7.1
52686 Christina Islands,Newark,NJ,Mid New Brunswick,7.6
17012 Jill Court Suite 277,Bridgeport,CT,North New Haven,7.1
96215 Brown Island,Newark,NJ,Downtown Camden,1.3
901 Woods Forks,New Haven,CT,Downtown New London,3.2
97374 Ramirez Street Apt. 049,Waterbury,CT,South Norwalk,7.0
41458 Scott Keys,Elizabeth,NJ,Downtown Camden,1.3
3202 Burton Forge Apt. 434,Newark,NJ,Mid New Brunswick,7.6
63053 Kevin Crest Suite 954,Elizabeth,NJ,Mid New Brunswick,7.6
371 Gray Islands Apt. 713,Paterson,NJ,East Elizabeth,4.5
63937 Oscar Springs,Paterson,NJ,Downtown Camden,1.3
1077 Wright Run Suite 050,Newark,NJ,East Elizabeth,4.5
26267 Kelley Meadow,New Haven,CT,East Hartford,2.7
6017 Martinez Locks,Newark,NJ,South Trenton,1.0
49916 Sara Springs Apt. 557,Albany,NY,Downtown Brooklyn,4.8
823 Ana Cliffs,Hartford,CT,Downtown New London,3.2
2292 Sarah Extensions,New York,NY,Northern Queens,9.3
02660 Erickson Hills,Newark,NJ,East Elizabeth,4.5
6606 Smith Track Apt. 876,Trenton,NJ,Mid New Brunswick,7.6
83985 Mark Mall Suite 080,Bridgeport,CT,North New Haven,7.1
93695 Scott Forest Suite 886,Rochester,NY,Lower West Side,1.5
202 Hannah Islands,Rochester,NY,East Bronx,5.7
94573 Jackson Mill,New Haven,CT,South Norwalk,7.0
574 Miller Spurs Apt. 999,Paterson,NJ,East Elizabeth,4.5
415 Jonathan Ways Suite 520,Albany,NY,South Staten Island,6.3
4380 Anita Crossing Suite 563,Elizabeth,NJ,South Trenton,1.0
2119 Sara Motorway Apt. 774,Syracuse,NY,Lower East Side,6.8
40009 Erin Knolls Suite 237,Paterson,NJ,East Elizabeth,4.5
6033 Macdonald Mount Suite 738,Trenton,NJ,Downtown Camden,1.3
93717 Williams Curve Suite 133,Rochester,NY,South Staten Island,6.3
7109 Wallace Roads Suite 079,Buffalo,NY,Downtown Manhattan,1.7
7063 Kimberly Points Apt. 863,Jersey City,NJ,East Elizabeth,4.5
52749 Crane Road Suite 312,New Haven,CT,Downtown Stamford,9.4
425 Blevins Corners Suite 113,New Haven,CT,South Norwalk,7.0
019 James Meadows,Newark,NJ,East Elizabeth,4.5
69477 Stewart Orchard Apt. 810,Waterbury,CT,South Norwalk,7.0
789 Samuel Pine,Trenton,NJ,Downtown Camden,1.3
952 Madison Trail Suite 248,Paterson,NJ,Downtown Camden,1.3
068 John Falls,Paterson,NJ,Downtown Camden,1.3
71617 Amy Pass,Newark,NJ,South Trenton,1.0
2395 Shannon Road,Jersey City,NJ,East Elizabeth,4.5
52712 Lisa Well Suite 172,Paterson,NJ,South Trenton,1.0
92942 John Meadow Apt. 040,Rochester,NY,Northern Queens,9.3
9053 Jennifer Brooks Apt. 542,Syracuse,NY,Downtown Brooklyn,4.8
718 Cynthia Plaza,Newark,NJ,South Trenton,1.0
8530 Perez Plains Apt. 165,Trenton,NJ,Mid New Brunswick,7.6
2895 Kennedy Cove Apt. 770,Bridgeport,CT,South Norwalk,7.0
9136 Perkins Plaza,Stamford,CT,North New Haven,7.1
703 Guzman Ford,Albany,NY,Northern Queens,9.3
68578 Barker Loop Apt. 195,Hartford,CT,Downtown New London,3.2
7613 Ferguson Union,Buffalo,NY,Lower East Side,6.8
99170 Debra Prairie Apt. 246,Hartford,CT,North New Haven,7.1
485 James Fork Apt. 035,Stamford,CT,Downtown Stamford,9.4
7908 Christensen Curve Apt. 960,Paterson,NJ,East Elizabeth,4.5
83538 Harrington Unions,Paterson,NJ,Downtown Camden,1.3
8244 Mccann Ridges,Waterbury,CT,East Hartford,2.7
38068 Troy Route Apt. 248,Rochester,NY,North Staten Island,2.0
7115 Williams Manors Suite 438,Albany,NY,Upper East Side,8.0
08212 Roberts Courts,Albany,NY,South Bronx,3.6
239 Peter Junctions Apt. 579,Albany,NY,Midtown East,2.1
8012 Gavin Prairie,Stamford,CT,Downtown New London,3.2
733 Flynn Drive Apt. 016,Waterbury,CT,North New Haven,7.1
8327 Savannah Harbor Suite 754,New Haven,CT,South Norwalk,7.0
70693 Michael Dale Suite 028,Rochester,NY,Downtown Brooklyn,4.8
266 Ethan Alley Suite 781,Bridgeport,CT,South Norwalk,7.0
16361 Benjamin Burgs Suite 510,Rochester,NY,Upper East Side,8.0
9954 Aaron Isle Apt. 096,Paterson,NJ,Mid New Brunswick,7.6
9013 Holly Row,New Haven,CT,East Hartford,2.7
383 Keller Well,Albany,NY,Downtown Manhattan,1.7
674 Andrew Rest Suite 002,Jersey City,NJ,Mid New Brunswick,7.6
884 Brenda Greens Apt. 188,Hartford,CT,Downtown New London,3.2
83849 Swanson Lane Apt. 448,Buffalo,NY,South Bronx,3.6
889 Fields Crossroad,Paterson,NJ,East Elizabeth,4.5
1626 James Vista Apt. 998,New Haven,CT,Downtown New London,3.2
0854 Ashley Haven Apt. 596,Albany,NY,Upper East Side,8.0
3612 Castro Island Suite 667,Elizabeth,NJ,East Elizabeth,4.5
58754 Regina Common,Trenton,NJ,Mid New Brunswick,7.6
00604 Powell Grove,Trenton,NJ,Downtown Camden,1.3
32901 Dustin Park,Syracuse,NY,Lower East Side,6.8
474 Christina Street,Paterson,NJ,South Trenton,1.0
52844 Long Underpass,Trenton,NJ,Downtown Camden,1.3
930 Patricia Vista,Newark,NJ,Mid New Brunswick,7.6
85557 Mendoza Inlet Suite 662,Hartford,CT,East Hartford,2.7
33227 John Turnpike Suite 572,Syracuse,NY,Upper East Side,8.0
422 Joshua Pass Suite 303,New Haven,CT,Downtown Stamford,9.4
275 Smith Overpass,Paterson,NJ,Downtown Camden,1.3
42719 Courtney Gardens,Albany,NY,South Bronx,3.6
18526 Day Meadows Apt. 855,Waterbury,CT,Downtown Stamford,9.4
19685 Morgan Wall Apt. 909,Bridgeport,CT,North New Haven,7.1
37636 Beck Drive,Paterson,NJ,South Trenton,1.0
0849 Burgess Land,Paterson,NJ,South Trenton,1.0
886 John Station,Paterson,NJ,Downtown Camden,1.3
02959 Li Mill Apt. 623,Elizabeth,NJ,Mid New Brunswick,7.6
060 Hicks Pine,Rochester,NY,North Staten Island,2.0
87308 Grant Motorway Apt. 073,Stamford,CT,Downtown New London,3.2
19912 Ricardo Well,New Haven,CT,South Norwalk,7.0
1087 Jose Loaf Apt. 621,New Haven,CT,North New Haven,7.1
42577 Preston Pass Apt. 102,Rochester,NY,Downtown Brooklyn,4.8
54648 Jackson Oval Apt. 381,Rochester,NY,Downtown Manhattan,1.7
36889 Johnson Corner,Rochester,NY,West Bronx,1.7
58932 Marshall Drives Suite 096,Jersey City,NJ,Downtown Camden,1.3
816 Morales Harbor Apt. 372,Trenton,NJ,East Elizabeth,4.5
7600 Winters Court Apt. 654,New York,NY,Upper West Side,7.7
350 James Cliff Apt. 247,Bridgeport,CT,North New Haven,7.1
1388 Weeks Coves,Newark,NJ,Downtown Camden,1.3
3610 Greer Hills Suite 272,Hartford,CT,North New Haven,7.1
51727 Munoz Squares,Bridgeport,CT,East Hartford,2.7
20728 Anderson Cape,Newark,NJ,East Elizabeth,4.5
199 Roger Terrace,Bridgeport,CT,East Hartford,2.7
110 Carl Route,Bridgeport,CT,South Norwalk,7.0
57381 Connor Dam Suite 138,Paterson,NJ,South Trenton,1.0
4504 Franklin Harbors Apt. 674,Paterson,NJ,Mid New Brunswick,7.6
2235 Amy Mount Apt. 426,Elizabeth,NJ,Downtown Camden,1.3
4031 Keith Square,Elizabeth,NJ,Mid New Brunswick,7.6
076 James Village Apt. 667,Buffalo,NY,South Bronx,3.6
103 Ryan Junction Suite 320,Hartford,CT,North New Haven,7.1
227 Johnston Wall,Jersey City,NJ,Downtown Camden,1.3
21822 Long Fields Apt. 923,Trenton,NJ,Mid New Brunswick,7.6
73206 Christopher Harbor,New Haven,CT,Downtown New London,3.2
221 Thompson Knoll,Waterbury,CT,Downtown New London,3.2
9444 Amber Radial,Buffalo,NY,East Bronx,5.7
28639 Robert Street,Bridgeport,CT,Downtown New London,3.2
92104 Morrison Corner,Paterson,NJ,East Elizabeth,4.5
