school_ID,school_name,school_rating,school_type,school_level,state,city,street,zip_code
126,Johnson-Maddox,2,Private,Elementary,CT,Jersey City,19908 Maple Street,8683
127,White PLC,0,Private,Pre-K,NJ,Elizabeth,67818 Dawson Terrace,7815
128,Harris-Gonzalez,2,Public,Middle,NJ,Elizabeth,56192 Pine Drive,7815
129,Randall PLC,0,Private,Middle,NJ,Elizabeth,54954 Santos Stream,7815
130,"Gordon, Hall and Blake",7,Private,High,CT,New Haven,79950 Chad Valley,6135
131,Jones-Jones,0,Private,Pre-K,CT,New Haven,19388 Chad Valley,6135
132,Clayton-Brooks,7,Public,Pre-K,CT,New Haven,120516 Alison Bridge,6135
133,"Peck, Hall and Miller",0,Public,Elementary,CT,Syracuse,4788 Maple Street,12867
134,Evans and Sons,6,Public,Pre-K,CT,Bridgeport,75576 Alison Bridge,6216
135,"Smith, Harris and Thompson",2,Public,Middle,CT,Bridgeport,116100 Dawson Terrace,6216
136,"Roth, Mason and Garcia",3,Public,Pre-K,CT,Bridgeport,28016 Oak Avenue,6216
137,Woods PLC,1,Public,Elementary,NY,New York,124396 Dawson Terrace,11131
138,Walsh and Sons,9,Public,High,NY,New York,85008 Chad Valley,11131
139,Johnston Group,8,Public,Elementary,NY,New York,100358 Cedar Lane,11131
140,Walsh Inc,6,Public,Elementary,CT,Waterbury,36400 Dawson Terrace,6149
141,"Pierce, Schroeder and Howard",2,Private,High,CT,Waterbury,68808 Chad Valley,6149
142,Gomez Group,3,Public,Elementary,CT,Bridgeport,33654 Dawson Terrace,6078
143,Herring Ltd,1,Private,Elementary,CT,Bridgeport,57915 Elm Circle,6078
144,Chung and Sons,2,Private,Pre-K,CT,Newark,138528 Oak Avenue,8560
145,Bradley-Bentley,7,Private,Pre-K,CT,Hartford,19140 Santos Stream,6082
146,Smith LLC,5,Public,High,CT,Hartford,55626 Pine Drive,6082
147,Caldwell-Holloway,1,Public,Pre-K,CT,Hartford,131124 Chad Valley,6082
148,Alexander-Holland,3,Public,Pre-K,CT,Bridgeport,65712 Omar Park,6206
149,Sanchez LLC,3,Public,Elementary,CT,Bridgeport,148404 Pine Drive,6206
150,Mcbride-Ortiz,2,Private,Middle,CT,Bridgeport,13650 Dawson Terrace,6206
151,Hall LLC,3,Public,Pre-K,CT,Jersey City,38354 Pine Drive,8862
152,"Mccarthy, Friedman and Owen",7,Public,Middle,CT,Jersey City,25536 Chad Valley,8862
153,"Reynolds, Hurley and Webb",6,Public,Pre-K,CT,Jersey City,47889 Cedar Lane,8862
154,Herrera Ltd,0,Public,Pre-K,CT,Rochester,4158 Alison Bridge,13246
155,Mcknight-Lane,9,Public,High,CT,Rochester,74400 Dawson Terrace,13246
156,Humphrey and Sons,2,Private,High,CT,Rochester,95628 Chad Valley,13246
157,Cruz-Ware,1,Public,High,NY,Buffalo,87920 Elm Circle,12968
158,Wallace-Richardson,9,Private,Middle,NY,Buffalo,107124 Chad Valley,12968
159,Mcintyre-Hughes,9,Public,Elementary,NY,Buffalo,76479 Cedar Lane,12968
160,"Herman, Sanders and Espinoza",1,Private,Pre-K,CT,Waterbury,159840 Oak Avenue,6068
161,"Robertson, Hurst and Rollins",3,Public,Pre-K,CT,Waterbury,98049 Elm Circle,6068
162,"Vang, Fleming and Wade",1,Public,Pre-K,CT,Waterbury,117936 Alison Bridge,6068
163,"Smith, Russell and Fischer",6,Private,Middle,CT,Newark,155828 Santos Stream,7485
164,"Fisher, Graves and Arnold",6,Private,High,CT,Newark,8200 Pine Drive,7485
165,Page-Sampson,10,Private,Elementary,CT,Newark,80685 Oak Avenue,7485
166,Taylor-Stark,4,Public,Middle,CT,Syracuse,14940 Alison Bridge,13667
167,Young Ltd,9,Private,High,CT,Syracuse,151469 Oak Avenue,13667
168,Schroeder PLC,2,Public,Middle,CT,Hartford,4704 Omar Park,6265
169,Gardner-Graves,9,Public,Elementary,CT,Hartford,59826 Alison Bridge,6265
170,"Hall, Silva and Gray",6,Private,High,CT,Hartford,27370 Oak Avenue,6265
171,Graham Inc,1,Private,Middle,CT,Waterbury,103797 Elm Circle,6141
172,Rich PLC,1,Public,Elementary,CT,Waterbury,151360 Pine Drive,6141
173,Mcdonald Ltd,3,Public,Pre-K,CT,Newark,51208 Santos Stream,8184
174,Murphy-Edwards,3,Private,Elementary,CT,Bridgeport,110316 Santos Stream,6116
175,Mills and Sons,8,Private,Pre-K,CT,Stamford,86450 Maple Street,6172
176,"Hughes, Sherman and Coleman",7,Private,Middle,CT,Stamford,5456 Maple Street,6172
177,"Conley, Flores and Williamson",7,Public,High,NJ,Elizabeth,109740 Santos Stream,8964
178,Torres Inc,6,Public,High,NJ,Elizabeth,131542 Pine Drive,8964
179,"White, Moore and Burgess",2,Public,Middle,NJ,Elizabeth,168260 Oak Avenue,8964
180,Cabrera Group,10,Public,High,CT,Waterbury,101160 Maple Street,6289
181,"Erickson, Moran and Kemp",0,Public,High,CT,Waterbury,16833 Cedar Lane,6289
182,"Johnson, Kennedy and Turner",10,Public,Pre-K,CT,Waterbury,18382 Elm Circle,6289
183,Weaver-Jones,2,Private,Middle,CT,Paterson,124440 Omar Park,7751
184,Figueroa-Prince,3,Public,Elementary,CT,Paterson,48944 Oak Avenue,7751
185,"Kim, Banks and Thomas",10,Public,Pre-K,CT,Paterson,26455 Oak Avenue,8637
186,"Price, Harvey and Taylor",9,Public,Middle,CT,Newark,68262 Cedar Lane,7471
187,"Gray, Dunlap and King",8,Private,Pre-K,CT,Newark,27863 Elm Circle,7471
188,Berry PLC,1,Public,Elementary,NY,Buffalo,38352 Omar Park,13132
189,Mcpherson-Colon,10,Public,Elementary,NY,Buffalo,19089 Maple Street,13132
190,Mckenzie-Bush,2,Private,Middle,NY,Buffalo,43890 Santos Stream,13132
191,Dalton-Campbell,1,Public,Elementary,NJ,Elizabeth,97983 Omar Park,7375
192,Ferguson Group,4,Public,Pre-K,CT,Albany,12096 Chad Valley,11829
193,Mercer-Harper,5,Public,Elementary,CT,Hartford,131626 Maple Street,6302
194,Baird-Martinez,0,Public,Pre-K,NJ,Elizabeth,1358 Pine Drive,7455
195,Reynolds-Walker,2,Public,Pre-K,NJ,Elizabeth,60060 Elm Circle,7455
196,Johnston-Hall,3,Private,Elementary,CT,Stamford,157780 Chad Valley,6105
197,"Berry, Bolton and Robertson",1,Private,Middle,CT,Paterson,108547 Alison Bridge,7668
198,Hall-Baker,1,Private,High,CT,Paterson,96624 Chad Valley,7668
199,Chavez PLC,6,Public,Elementary,CT,New Haven,12736 Omar Park,6099
200,"Johnson, Perez and Farmer",9,Public,Pre-K,CT,Syracuse,145800 Elm Circle,11076
201,"Benton, Weber and Brown",5,Public,Pre-K,NJ,Elizabeth,185121 Santos Stream,8120
202,"Smith, Mcmillan and Murphy",5,Private,Elementary,NJ,Elizabeth,110090 Santos Stream,8120
203,"Cardenas, David and Miller",7,Public,Middle,CT,Waterbury,104545 Maple Street,6065
204,Dawson-Richardson,3,Public,Middle,CT,Waterbury,1020 Dawson Terrace,6065
205,"Ward, Wood and Watson",0,Private,Pre-K,CT,Stamford,156620 Santos Stream,6252
206,"Glover, Hurst and Vang",5,Public,Pre-K,CT,Trenton,4532 Cedar Lane,7914
207,Lewis Group,7,Private,Middle,CT,Trenton,179469 Maple Street,7914
208,"Ellis, Parks and Foster",5,Private,High,NY,Buffalo,66560 Elm Circle,10732
209,"Goodwin, Thompson and Evans",5,Private,Elementary,NY,Buffalo,24871 Cedar Lane,10732
210,"Holloway, Mcclain and Wilson",0,Public,Pre-K,NY,Buffalo,175350 Omar Park,10732
211,Nelson-Torres,9,Public,Pre-K,CT,Newark,64144 Omar Park,8284
212,Kim Inc,9,Public,Middle,CT,Newark,113208 Dawson Terrace,8284
213,"Cooper, Brown and Hansen",5,Public,Elementary,CT,Trenton,204906 Pine Drive,7824
214,"Campos, Holloway and Tucker",5,Public,Middle,CT,Trenton,100366 Dawson Terrace,7824
215,Walters-Bass,6,Public,Elementary,CT,Trenton,135450 Omar Park,7824
216,Tran-Ramsey,4,Public,Elementary,CT,New Haven,96984 Oak Avenue,6229
217,Pearson LLC,2,Private,Elementary,CT,New Haven,162967 Alison Bridge,6229
218,"Higgins, Day and Chambers",10,Public,Pre-K,CT,New Haven,30520 Santos Stream,6229
219,Juarez-Davis,9,Private,High,CT,Trenton,34602 Oak Avenue,8220
220,Donaldson-Atkinson,3,Public,Middle,CT,Syracuse,169840 Cedar Lane,10809
221,Orr PLC,8,Public,High,CT,Syracuse,12155 Dawson Terrace,10809
222,Gonzalez PLC,1,Public,Middle,CT,Hartford,69042 Dawson Terrace,6182
223,Smith Group,1,Private,Elementary,CT,Hartford,18732 Chad Valley,6182
224,Brewer PLC,7,Private,Pre-K,CT,Bridgeport,177856 Dawson Terrace,6230
225,Middleton Ltd,2,Private,High,NJ,Elizabeth,89775 Maple Street,7790
226,"Larsen, Young and Gonzalez",6,Private,Pre-K,NJ,Elizabeth,169048 Omar Park,7790
227,"Bartlett, Rivera and Anderson",2,Public,Middle,NY,Buffalo,49940 Chad Valley,12085
228,Brewer Group,8,Private,Pre-K,CT,Syracuse,92568 Chad Valley,13095
229,"Aguirre, Larsen and Caldwell",6,Public,Pre-K,CT,Syracuse,26564 Elm Circle,13095
230,Hanson LLC,6,Public,High,CT,Hartford,16560 Chad Valley,6232
231,Elliott Group,2,Private,Elementary,NJ,Elizabeth,92862 Alison Bridge,8709
232,Blankenship-Morales,0,Private,Pre-K,NJ,Elizabeth,204160 Maple Street,8709
233,Bennett Ltd,7,Private,Elementary,CT,Paterson,226243 Oak Avenue,8777
234,Mcdowell PLC,5,Private,Middle,CT,Paterson,51480 Dawson Terrace,8777
235,James-Ramsey,5,Private,Pre-K,CT,Paterson,37600 Santos Stream,8777
236,"Smith, Hartman and Cervantes",5,Private,High,CT,New Haven,89444 Chad Valley,6292
237,Johnson-Burnett,8,Private,Middle,CT,New Haven,103569 Omar Park,6292
238,Allen LLC,1,Private,Middle,CT,New Haven,177072 Oak Avenue,6292
239,"Hernandez, Kennedy and Elliott",9,Public,High,CT,Rochester,135513 Omar Park,13448
240,Morgan LLC,10,Private,Pre-K,CT,Rochester,168960 Elm Circle,13448
241,Hughes Ltd,9,Private,Pre-K,CT,Bridgeport,26992 Santos Stream,6323
242,"Morgan, Martin and Rasmussen",4,Public,Middle,NY,New York,218768 Santos Stream,10159
243,Sweeney PLC,3,Private,Pre-K,NY,New York,1215 Cedar Lane,10159
244,Greer PLC,3,Public,Elementary,CT,Rochester,168848 Elm Circle,12907
245,Rodgers-Erickson,3,Public,High,CT,Albany,6370 Cedar Lane,12853
246,"Rogers, Johnson and Villegas",4,Private,Elementary,CT,Albany,76506 Cedar Lane,12853
247,Reilly-Chambers,0,Public,Pre-K,CT,Albany,98059 Pine Drive,12853
248,Simpson Group,3,Public,Middle,NJ,Elizabeth,72168 Elm Circle,8115
249,"Graves, Hickman and James",2,Public,High,CT,Paterson,246261 Chad Valley,8480
250,"Santos, Smith and Gibson",5,Public,Pre-K,CT,Paterson,86750 Santos Stream,8480
251,Williams-Hernandez,6,Private,Pre-K,CT,Paterson,234434 Alison Bridge,8480
252,Carr-Pruitt,3,Public,Middle,CT,Bridgeport,85681 Oak Avenue,6378
253,Bailey and Sons,10,Private,Middle,CT,Waterbury,220869 Maple Street,6152
254,Hall-Webster,7,Public,Elementary,CT,Waterbury,22352 Oak Avenue,6152
255,Pruitt-Bell,9,Public,High,CT,Waterbury,10710 Pine Drive,6152
256,Atkinson-Jackson,7,Public,High,CT,Hartford,175104 Elm Circle,6319
257,Williamson Ltd,8,Public,Middle,CT,Hartford,34952 Chad Valley,6274
258,Watson-Pearson,0,Private,Elementary,CT,Paterson,185502 Chad Valley,8152
259,Adams-Webb,3,Private,High,CT,Rochester,72261 Santos Stream,14307
260,Cole-Pierce,6,Public,Middle,NJ,Elizabeth,200200 Alison Bridge,7139
261,Harris Group,3,Public,Pre-K,NJ,Elizabeth,215586 Alison Bridge,7139
262,Patel-Long,10,Private,High,NJ,Elizabeth,221652 Alison Bridge,8728
263,"Moore, Taylor and Koch",5,Public,Elementary,NJ,Elizabeth,194094 Maple Street,8728
264,Martinez-Adams,1,Public,Elementary,NJ,Elizabeth,70752 Elm Circle,8728
265,"Norris, Davenport and Hill",0,Public,Elementary,CT,Bridgeport,113950 Cedar Lane,6145
266,Maldonado and Sons,5,Private,Pre-K,CT,Bridgeport,213332 Oak Avenue,6145
267,Alvarez-Duncan,6,Private,High,CT,Waterbury,159399 Oak Avenue,6156
268,"Munoz, Ramirez and Henry",8,Private,High,CT,Waterbury,183044 Santos Stream,6156
269,"Rivera, Turner and Gray",10,Public,Pre-K,NY,Buffalo,172698 Cedar Lane,13504
270,"Davis, Boyer and Briggs",4,Public,High,CT,Jersey City,54270 Alison Bridge,8784
271,"Sullivan, King and Jones",6,Private,Pre-K,CT,Jersey City,34959 Omar Park,8784
272,"Nelson, May and Thomas",7,Private,Pre-K,CT,Jersey City,59024 Cedar Lane,8784
273,"Hahn, Hamilton and Brennan",6,Private,Pre-K,CT,Newark,75075 Oak Avenue,8816
274,"Thomas, Griffin and Murphy",9,Private,Elementary,CT,Hartford,29866 Pine Drive,6211
275,"Mcmahon, Fuentes and Wright",7,Public,High,CT,Hartford,165825 Elm Circle,6211
276,"Mcclure, Crawford and Johnson",3,Private,Pre-K,CT,Syracuse,108192 Chad Valley,14644
277,"Wright, Fields and Lopez",3,Public,High,CT,Albany,75621 Oak Avenue,12116
278,"Gomez, Montoya and Jordan",4,Private,Elementary,CT,Rochester,174584 Elm Circle,11425
279,"Walton, Phelps and Swanson",8,Public,Pre-K,CT,Rochester,215388 Omar Park,11425
280,Campbell-Smith,2,Private,Middle,CT,Rochester,87640 Cedar Lane,11425
281,"Elliott, Henderson and Davidson",8,Private,Elementary,CT,Stamford,230701 Omar Park,6249
282,Lawrence LLC,7,Private,Middle,CT,Stamford,260850 Elm Circle,6249
283,Miles-Fernandez,9,Private,High,CT,Stamford,56600 Omar Park,6249
284,Johnson and Sons,10,Public,High,CT,Hartford,143136 Dawson Terrace,6105
285,"Edwards, Patton and Whitney",7,Private,Elementary,CT,Hartford,258210 Chad Valley,6105
286,"Li, Gray and Tate",9,Public,High,NJ,Elizabeth,167024 Alison Bridge,7565
287,Rodriguez LLC,10,Public,Middle,NJ,Elizabeth,13202 Alison Bridge,7565
288,Nash-Washington,4,Public,Pre-K,NJ,Elizabeth,101952 Elm Circle,7565
289,Newman-Franco,9,Public,Pre-K,CT,Stamford,27744 Omar Park,6009
290,Gomez-Phillips,5,Private,Pre-K,CT,Stamford,224170 Oak Avenue,6009
291,"Harris, Colon and West",6,Public,Elementary,CT,Paterson,22698 Maple Street,7534
292,"Allen, Fisher and Phillips",8,Public,High,CT,Paterson,102200 Santos Stream,7534
293,Petersen-Jones,5,Public,Middle,CT,Paterson,180488 Maple Street,7534
294,Hayes PLC,2,Private,High,CT,Stamford,263424 Chad Valley,6088
295,"Mills, Brown and Stone",5,Private,High,CT,Stamford,104725 Elm Circle,6088
296,Dunn LLC,8,Private,High,NY,New York,27528 Santos Stream,10162
297,Shaw and Sons,5,Private,Pre-K,CT,New Haven,206415 Oak Avenue,6083
298,"Walker, Ayala and Williams",0,Public,Middle,CT,New Haven,273564 Santos Stream,6083
299,Robbins LLC,10,Public,Middle,CT,New Haven,274183 Chad Valley,6083
300,Dixon-Duncan,4,Private,High,CT,Trenton,238200 Alison Bridge,8899
301,Jackson Ltd,5,Public,Pre-K,CT,Syracuse,149296 Maple Street,10099
302,Collier Ltd,4,Public,Pre-K,CT,Paterson,105700 Maple Street,8373
303,Williams LLC,10,Public,Middle,CT,Newark,106656 Pine Drive,7182
304,"Jones, Williams and Mathews",4,Private,Pre-K,CT,Newark,133152 Cedar Lane,7182
305,Thomas-Peters,9,Private,Pre-K,CT,Albany,47275 Dawson Terrace,10641
306,"Morris, Shepherd and Smith",3,Public,Pre-K,CT,Albany,182988 Elm Circle,10641
307,"Wells, Evans and Brown",0,Private,Elementary,CT,Bridgeport,112669 Oak Avenue,6124
308,"Griffith, Olsen and Calhoun",9,Private,High,CT,Trenton,230076 Oak Avenue,7249
309,Mclaughlin Inc,1,Private,Middle,CT,Trenton,75396 Elm Circle,7249
310,"Morris, Dominguez and Lowe",8,Private,Middle,CT,Trenton,72850 Cedar Lane,8236
311,Jones PLC,6,Private,Elementary,CT,Trenton,141816 Elm Circle,8236
312,Hanson-Cantu,8,Public,High,CT,Trenton,42744 Pine Drive,8236
313,Lara-Robertson,7,Private,Middle,CT,Hartford,269180 Maple Street,6031
314,Watson-Edwards,9,Public,Pre-K,CT,Hartford,149150 Pine Drive,6031
315,Harris-Schwartz,6,Public,Middle,CT,Hartford,247590 Omar Park,6385
316,Hicks PLC,3,Private,Pre-K,CT,Hartford,266704 Dawson Terrace,6385
